1 experiment
BestFS:,130,3597
AStar:,88,3835

99 experiment
DFS:,170,8373
BFS:,44,1937
BestFS:,54,1621
AStar:,44,1979

100 experiment
DFS:,2639,129750
BFS:,147,6965
BestFS:,343,8941
AStar:,147,7506

101 experiment
DFS:,1188,56666
BFS:,100,5070
BestFS:,156,4605
AStar:,100,4668

102 experiment
DFS:,2698,130876
BFS:,148,7134
BestFS:,222,5680
AStar:,148,6845

103 experiment
DFS:,530,25342
BFS:,86,4304
BestFS:,140,4161
AStar:,86,4280

104 experiment
DFS:,3743,181612
BFS:,171,8268
BestFS:,299,7987
AStar:,171,8261

105 experiment
DFS:,525,25786
BFS:,61,2647
BestFS:,103,3022
AStar:,61,2888

106 experiment
DFS:,222,10281
BFS:,46,2135
BestFS:,62,1990
AStar:,46,2232

107 experiment
DFS:,364,18334
BFS:,80,3675
BestFS:,122,3989
AStar:,80,3736

108 experiment
DFS:,3079,149640
BFS:,155,7255
BestFS:,207,5892
AStar:,155,8091

109 experiment
DFS:,424,21407
BFS:,102,4866
BestFS:,160,5275
AStar:,102,5010

110 experiment
DFS:,252,12950
BFS:,44,2190
BestFS:,74,2190
AStar:,44,2081

111 experiment
DFS:,285,14038
BFS:,51,2793
BestFS:,69,2030
AStar:,51,2553

112 experiment
DFS:,3664,179018
BFS:,172,8561
BestFS:,348,8902
AStar:,172,8111

113 experiment
DFS:,172,7601
BFS:,62,3183
BestFS:,100,2809
AStar:,62,2747

114 experiment
DFS:,376,18035
BFS:,56,2966
BestFS:,62,1515
AStar:,56,2770

115 experiment
DFS:,290,14368
BFS:,50,2460
BestFS:,52,1589
AStar:,50,2522

116 experiment
DFS:,839,41502
BFS:,79,3923
BestFS:,107,2972
AStar:,79,3941

117 experiment
DFS:,2436,118107
BFS:,140,7162
BestFS:,220,5780
AStar:,140,7443

118 experiment
DFS:,2990,145592
BFS:,158,7347
BestFS:,242,6684
AStar:,158,7985

119 experiment
DFS:,374,17278
BFS:,98,4359
BestFS:,142,4184
AStar:,98,4423

120 experiment
DFS:,1176,57635
BFS:,96,4425
BestFS:,148,4409
AStar:,96,4443

121 experiment
DFS:,1314,64428
BFS:,118,5727
BestFS:,200,5469
AStar:,118,5669

122 experiment
DFS:,868,41576
BFS:,84,4050
BestFS:,120,3644
AStar:,84,4135

123 experiment
DFS:,553,26520
BFS:,63,2873
BestFS:,77,1999
AStar:,63,3422

124 experiment
DFS:,1888,90152
BFS:,120,5536
BestFS:,164,4520
AStar:,120,5766

125 experiment
DFS:,3005,146053
BFS:,155,7254
BestFS:,227,6479
AStar:,155,7559

126 experiment
DFS:,871,42721
BFS:,87,3982
BestFS:,143,4339
AStar:,87,4449

127 experiment
DFS:,1379,67652
BFS:,103,4720
BestFS:,127,3525
AStar:,103,5101

128 experiment
DFS:,2423,118516
BFS:,143,7031
BestFS:,253,7477
AStar:,143,7424

129 experiment
DFS:,48,2134
BFS:,18,980
BestFS:,26,899
AStar:,18,1042

130 experiment
DFS:,658,31071
BFS:,106,4759
BestFS:,162,4416
AStar:,106,4853

131 experiment
DFS:,1951,94897
BFS:,127,6196
BestFS:,187,4914
AStar:,127,5786

132 experiment
DFS:,2592,125137
BFS:,148,6599
BestFS:,258,7056
AStar:,148,7239

133 experiment
DFS:,290,14641
BFS:,50,2389
BestFS:,76,2336
AStar:,50,2640

134 experiment
DFS:,684,33214
BFS:,72,3446
BestFS:,110,3368
AStar:,72,3261

135 experiment
DFS:,2880,138665
BFS:,152,7008
BestFS:,276,7501
AStar:,152,6955

136 experiment
DFS:,1513,72651
BFS:,109,4997
BestFS:,203,5276
AStar:,109,5358

137 experiment
DFS:,2403,116721
BFS:,141,7295
BestFS:,261,6667
AStar:,141,7063

138 experiment
DFS:,285,14243
BFS:,65,2892
BestFS:,103,2721
AStar:,65,3259

139 experiment
DFS:,2408,116318
BFS:,136,5651
BestFS:,258,6781
AStar:,136,6091

140 experiment
DFS:,2938,140837
BFS:,154,7222
BestFS:,220,5964
AStar:,154,7483

141 experiment
DFS:,1613,78000
BFS:,119,5810
BestFS:,175,4599
AStar:,119,5749

142 experiment
DFS:,1517,72550
BFS:,109,5565
BestFS:,175,4633
AStar:,109,5681

143 experiment
DFS:,2070,101066
BFS:,134,6576
BestFS:,220,5349
AStar:,134,6533

144 experiment
DFS:,139,6791
BFS:,31,1694
BestFS:,31,842
AStar:,31,1396

145 experiment
DFS:,150,7360
BFS:,54,2631
BestFS:,74,2129
AStar:,54,2570

146 experiment
DFS:,1065,51966
BFS:,115,5601
BestFS:,167,4696
AStar:,115,5514

147 experiment
DFS:,1064,52126
BFS:,104,5188
BestFS:,156,4405
AStar:,104,5261

148 experiment
DFS:,1219,59194
BFS:,99,4577
BestFS:,135,3894
AStar:,99,4797

149 experiment
DFS:,231,11603
BFS:,71,3623
BestFS:,113,3634
AStar:,71,3680

150 experiment
DFS:,3061,148935
BFS:,157,7133
BestFS:,267,6929
AStar:,157,7512

151 experiment
DFS:,1876,92819
BFS:,124,5925
BestFS:,178,4787
AStar:,124,6388

152 experiment
DFS:,301,14464
BFS:,69,3225
BestFS:,101,3246
AStar:,69,3234

153 experiment
DFS:,1774,88315
BFS:,118,5652
BestFS:,168,4443
AStar:,118,5736

154 experiment
DFS:,2773,136131
BFS:,149,7607
BestFS:,241,6804
AStar:,149,7350

155 experiment
DFS:,1550,73143
BFS:,110,5149
BestFS:,184,4547
AStar:,110,5519

156 experiment
DFS:,424,20155
BFS:,64,3259
BestFS:,102,3043
AStar:,64,3329

157 experiment
DFS:,817,39413
BFS:,95,4840
BestFS:,175,4908
AStar:,95,4337

158 experiment
DFS:,525,25459
BFS:,83,4049
BestFS:,127,3558
AStar:,83,4114

159 experiment
DFS:,921,45104
BFS:,93,4375
BestFS:,141,3955
AStar:,93,4445

160 experiment
DFS:,274,12688
BFS:,94,4664
BestFS:,124,3636
AStar:,94,4670

161 experiment
DFS:,851,41912
BFS:,83,3927
BestFS:,127,3629
AStar:,83,4238

162 experiment
DFS:,2475,120022
BFS:,143,7309
BestFS:,261,6738
AStar:,143,7156

163 experiment
DFS:,4278,209547
BFS:,184,9232
BestFS:,360,9131
AStar:,184,8415

164 experiment
DFS:,3074,147311
BFS:,154,7473
BestFS:,342,8835
AStar:,154,7888

165 experiment
DFS:,982,46823
BFS:,102,5016
BestFS:,210,6007
AStar:,102,5207

166 experiment
DFS:,2690,130181
BFS:,144,7281
BestFS:,204,5707
AStar:,144,6441

167 experiment
DFS:,2276,109406
BFS:,140,6773
BestFS:,268,6837
AStar:,140,7037

168 experiment
DFS:,3076,148205
BFS:,156,7639
BestFS:,328,8413
AStar:,156,7027

169 experiment
DFS:,819,40244
BFS:,97,5141
BestFS:,141,4060
AStar:,97,5382

170 experiment
DFS:,1634,79924
BFS:,122,5780
BestFS:,194,5045
AStar:,122,5795

171 experiment
DFS:,989,50489
BFS:,107,6074
BestFS:,153,4375
AStar:,107,5828

172 experiment
DFS:,1979,96520
BFS:,131,6796
BestFS:,229,6383
AStar:,131,6980

173 experiment
DFS:,4556,219957
BFS:,188,9607
BestFS:,288,7619
AStar:,188,8944

174 experiment
DFS:,417,20903
BFS:,57,3116
BestFS:,93,2930
AStar:,57,3195

175 experiment
DFS:,817,39157
BFS:,79,3808
BestFS:,137,3851
AStar:,79,3778

176 experiment
DFS:,460,22618
BFS:,60,2899
BestFS:,76,2444
AStar:,60,3395

177 experiment
DFS:,214,10077
BFS:,76,3651
BestFS:,126,3249
AStar:,76,3356

178 experiment
DFS:,4169,201978
BFS:,179,8511
BestFS:,291,7827
AStar:,179,8851

179 experiment
DFS:,2493,118049
BFS:,141,6821
BestFS:,203,5078
AStar:,141,6526

180 experiment
DFS:,1205,57235
BFS:,113,5388
BestFS:,197,5444
AStar:,113,5507

181 experiment
DFS:,998,48242
BFS:,86,4353
BestFS:,130,3562
AStar:,86,4065

182 experiment
DFS:,2941,142418
BFS:,153,7356
BestFS:,271,7266
AStar:,153,7603

183 experiment
DFS:,568,27902
BFS:,80,3493
BestFS:,126,3550
AStar:,80,3931

184 experiment
DFS:,1154,55850
BFS:,98,4565
BestFS:,174,4879
AStar:,98,4250

185 experiment
DFS:,1083,52467
BFS:,93,5013
BestFS:,123,3343
AStar:,93,4372

186 experiment
DFS:,694,33918
BFS:,84,4235
BestFS:,130,3741
AStar:,84,4322

187 experiment
DFS:,889,40778
BFS:,89,4129
BestFS:,123,2921
AStar:,89,4438

188 experiment
DFS:,2116,100051
BFS:,128,6357
BestFS:,164,4952
AStar:,128,6024

189 experiment
DFS:,3199,156483
BFS:,159,7587
BestFS:,337,8790
AStar:,159,7210

190 experiment
DFS:,174,9114
BFS:,36,1729
BestFS:,38,1156
AStar:,36,2060

191 experiment
DFS:,625,30581
BFS:,73,3385
BestFS:,121,3547
AStar:,73,3784

192 experiment
DFS:,4947,238108
BFS:,195,9383
BestFS:,277,6761
AStar:,195,8965

193 experiment
DFS:,2255,108663
BFS:,143,6898
BestFS:,251,6622
AStar:,143,7528

194 experiment
DFS:,729,36342
BFS:,81,4000
BestFS:,149,3898
AStar:,81,4066

195 experiment
DFS:,231,10386
BFS:,51,2577
BestFS:,61,1853
AStar:,51,2586

196 experiment
DFS:,340,15796
BFS:,52,2482
BestFS:,64,1758
AStar:,52,2502

197 experiment
DFS:,691,33122
BFS:,71,3299
BestFS:,95,2448
AStar:,71,3145

198 experiment
DFS:,465,22701
BFS:,73,3542
BestFS:,107,3075
AStar:,73,3454

199 experiment
DFS:,2634,127637
BFS:,144,7153
BestFS:,336,8190
AStar:,144,7092

200 experiment
DFS:,2205,106829
BFS:,137,6268
BestFS:,201,5229
AStar:,137,6725

201 experiment
DFS:,203,10195
BFS:,71,3214
BestFS:,101,3630
AStar:,71,3173

202 experiment
DFS:,252,13001
BFS:,48,2458
BestFS:,60,1661
AStar:,48,2432

203 experiment
DFS:,1765,86133
BFS:,125,5420
BestFS:,185,5123
AStar:,125,6331

204 experiment
DFS:,499,23245
BFS:,107,5061
BestFS:,155,4268
AStar:,107,5248

205 experiment
DFS:,96,4959
BFS:,24,1442
BestFS:,28,920
AStar:,24,1012

206 experiment
DFS:,2026,98016
BFS:,130,6332
BestFS:,206,5966
AStar:,130,6228

207 experiment
DFS:,2744,133063
BFS:,152,7849
BestFS:,308,8372
AStar:,152,7025

208 experiment
DFS:,946,45155
BFS:,86,4403
BestFS:,136,4172
AStar:,86,4453

209 experiment
DFS:,124,6192
BFS:,44,2107
BestFS:,66,2176
AStar:,44,1987

210 experiment
DFS:,2941,141592
BFS:,153,7739
BestFS:,233,6404
AStar:,153,7342

211 experiment
DFS:,1566,74622
BFS:,126,6275
BestFS:,264,6768
AStar:,126,5897

212 experiment
DFS:,506,25292
BFS:,110,5410
BestFS:,186,4988
AStar:,110,5360

213 experiment
DFS:,296,14501
BFS:,72,3181
BestFS:,102,3025
AStar:,72,3318

214 experiment
DFS:,1078,52847
BFS:,106,4776
BestFS:,166,4902
AStar:,106,5229

215 experiment
DFS:,2125,103390
BFS:,133,6214
BestFS:,181,4851
AStar:,133,6656

216 experiment
DFS:,1092,52994
BFS:,104,5431
BestFS:,182,4946
AStar:,104,5480

217 experiment
DFS:,495,23994
BFS:,107,5549
BestFS:,161,4335
AStar:,107,5246

218 experiment
DFS:,3869,187264
BFS:,173,8549
BestFS:,299,8004
AStar:,173,8307

219 experiment
DFS:,4543,222000
BFS:,187,8634
BestFS:,369,9617
AStar:,187,9108

220 experiment
DFS:,399,19311
BFS:,63,3087
BestFS:,93,2552
AStar:,63,3078

221 experiment
DFS:,1768,86866
BFS:,130,6447
BestFS:,218,6132
AStar:,130,6934

222 experiment
DFS:,111,5166
BFS:,41,2270
BestFS:,61,2043
AStar:,41,1857

223 experiment
DFS:,2395,116224
BFS:,141,6487
BestFS:,275,7334
AStar:,141,6778

224 experiment
DFS:,861,41716
BFS:,81,4294
BestFS:,105,2823
AStar:,81,3918

225 experiment
DFS:,3499,166775
BFS:,167,8195
BestFS:,339,9028
AStar:,167,7923

226 experiment
DFS:,3970,191776
BFS:,178,8245
BestFS:,318,8974
AStar:,178,8098

227 experiment
DFS:,114,5937
BFS:,42,1832
BestFS:,62,2041
AStar:,42,2158

228 experiment
DFS:,499,24570
BFS:,107,5069
BestFS:,161,4981
AStar:,107,5498

229 experiment
DFS:,3355,162232
BFS:,163,8193
BestFS:,285,7798
AStar:,163,7909

230 experiment
DFS:,468,23173
BFS:,68,3610
